student_id,gender,age,parent_education,family_income,attendance_pct,internal_marks,assignments_submitted_pct,previous_grade,extracurricular,final_result
S00001,Male,20,Primary,32107,93.7,51.2,87.2,C,Low,Pass
S00002,Female,20,Postgraduate,17957,90.4,63.0,79.8,B,Low,Pass
S00003,Male,18,Secondary,21234,83.4,42.9,96.2,F,Low,Fail
S00004,Female,16,Primary,15996,89.5,69.4,76.8,C,None,Pass
S00005,Male,21,Secondary,33491,78.0,44.3,68.7,C,None,Fail
S00006,Male,17,Graduate,36076,86.7,68.3,78.1,B,Low,Pass
S00007,Male,19,Graduate,10704,74.5,41.9,53.1,B,None,Pass
S00008,Female,18,Graduate,21892,78.8,47.4,87.0,A,Low,Pass
S00009,Female,21,Graduate,9432,84.2,84.6,88.8,C,Medium,Pass
S00010,Female,22,Primary,4289,77.2,64.1,83.7,C,Low,Pass
S00011,Female,22,Graduate,12872,80.0,83.7,78.9,D,None,Fail
S00012,Female,17,Primary,35861,77.4,77.7,56.7,A,Low,Pass
S00013,Male,18,Secondary,19067,82.1,71.8,75.1,B,Low,Pass
S00014,Male,16,Secondary,37268,74.5,53.6,74.9,F,Low,Fail
S00015,Male,22,Secondary,22114,88.0,64.5,69.0,F,Low,Fail
S00016,Female,18,Secondary,22940,99.0,64.3,96.6,D,Medium,Pass
S00017,Female,20,Graduate,8548,78.2,83.3,80.4,B,None,Pass
S00018,Male,22,Postgraduate,19176,76.1,64.6,77.8,C,Medium,Pass
S00019,Female,17,Postgraduate,25942,90.0,67.8,87.2,B,Medium,Pass
S00020,Female,21,Graduate,14799,87.3,74.4,73.8,A,None,Pass
